transition_idx,time_s,from_state,to_state,behavior_active,zscore_DA
17,185.8,3,0,Investigation,3.2438915296393653
59,190.0,0,3,Investigation,3.854256454983243
65,190.6,3,1,Investigation,2.958320040975042
92,193.3,1,0,Investigation,4.773477683030039
102,194.3,0,1,Investigation,3.432958817876417
111,195.2,1,0,Investigation,4.526044448005269
116,195.7,0,3,Investigation,2.6874513071794173
145,198.6,3,0,Investigation,6.714550819468728
157,199.8,0,1,Investigation,12.306696394763646
173,201.4,1,2,Investigation,2.7541106199512635
192,203.3,2,3,Investigation,4.298545559114718
197,203.8,3,0,Investigation,2.01873431472202
200,204.1,0,3,Investigation,1.5742188479911998
207,204.8,3,0,Investigation,2.862717388099587
213,205.4,0,3,Investigation,0.96611200205814
219,206.0,3,1,Investigation,0.0453009948263059
231,207.2,1,2,Investigation,2.488870694878061
248,208.9,2,3,Investigation,4.144995900395417
266,210.7,3,0,Investigation,3.134443638113467
286,212.7,0,1,Investigation,0.0990649479020487
299,214.0,1,0,Investigation,0.6202485215903701
304,214.5,0,1,Investigation,1.9180396445569423
312,215.3,1,2,Investigation,-0.188671160634187
321,216.2,2,3,Investigation,1.9343101996007737
325,216.6,3,0,Investigation,1.139315248847962
331,217.2,0,3,Investigation,0.968784827546904
341,218.2,3,2,Investigation,1.5847790420707664
358,219.9,2,3,Investigation,2.6035924721782826
382,222.3,3,2,Investigation,-0.009333493413242
409,225.0,2,3,Investigation,2.2176088263861464
419,226.0,3,0,Investigation,0.0852812326357157
423,226.4,0,3,Investigation,2.1209580213129664
430,227.1,3,2,Investigation,1.397326669593177
448,228.9,2,3,Investigation,-0.0628832525840632
467,230.8,3,0,Investigation,0.976435863749463
473,231.4,0,1,Investigation,0.7470836233271527
478,231.9,1,2,Investigation,-0.155964448055477
495,233.6,2,3,Investigation,1.996228640416331
503,234.4,3,0,Investigation,0.9278019178302092
510,235.1,0,3,Investigation,0.5718565845979496
517,235.8,3,0,Investigation,0.7765315393463806
526,236.7,0,3,Investigation,2.9605664763852952
593,243.4,3,2,Investigation,-0.2309845775809281
635,247.6,2,3,Investigation,0.0593921408826962
643,248.4,3,0,Investigation,-0.0221303573433633
660,250.1,0,1,Investigation,-0.0931707488859182
668,250.9,1,0,Investigation,1.1534306967279937
692,253.3,0,3,Aggression,-0.4326077504494896
704,254.5,3,2,,1.0382227422126007
726,256.7,2,3,,3.5708445665129447
756,259.7,3,2,,2.239353370211291
767,260.8,2,3,,2.771817349236352
778,261.9,3,2,,0.0926208326678262
787,262.8,2,3,,0.9705320205969988
798,263.9,3,2,,0.2229948554115868
829,267.0,2,3,Approach,2.054973249252805
847,268.8,3,0,,0.0363427366166015
850,269.1,0,1,,0.0092771783953084
872,271.3,1,0,,-0.4426056853405665
877,271.8,0,1,,-0.1374390003927321
889,273.0,1,2,,-0.1989752276310989
923,276.4,2,3,,2.348405149754818
937,277.8,3,0,,0.1933897227079345
968,280.9,0,3,,0.0941124244962473
975,281.6,3,2,,-0.7952114877267238
980,282.1,2,3,,-0.5803242973416083
997,283.8,3,2,,-0.9295681043513192
1035,287.6,2,3,,-0.6458739029432211
1038,287.9,3,1,,-0.2582390034337551
1045,288.6,1,3,,-0.6115393546302262
1055,289.6,3,2,,-0.3420212769842559
1063,290.4,2,3,,0.0130232906674767
1070,291.1,3,0,,0.8589893480741978
1080,292.1,0,3,,3.2218403406012213
1096,293.7,3,2,,0.0891197204772888
1113,295.4,2,3,,0.3252296054454319
1120,296.1,3,0,,-0.3001265294463019
1141,298.2,0,3,,-0.1657164028834531
1153,299.4,3,2,,0.7084270154784814
1178,301.9,2,0,,-0.6686259407665708
1201,304.2,0,3,,-0.2921099575729347
1211,305.2,3,2,,-0.1496212859023857
1222,306.3,2,3,,-0.2267050716870159
1232,307.3,3,1,,-0.4652698802881669
1266,310.7,1,2,,-0.8240504662465773
1274,311.5,2,1,,-0.2506960479530919
1280,312.1,1,3,,-0.6743166466520295
1326,316.7,3,0,,0.0836705925904782
1342,318.3,0,3,,-1.0228728682501336
1358,319.9,3,2,,-0.6797917196273089
1392,323.3,2,1,,-1.1938584386697204
1397,323.8,1,0,,-1.150785708707137
1427,326.8,0,3,,-0.8536472938865161
1436,327.7,3,2,,0.7408215136354445
1442,328.3,2,3,,0.7191314785250602
1457,329.8,3,2,,0.1911985131460722
1497,333.8,2,3,,-0.9976172521571576
1519,336.0,3,2,,3.0522949330771887
1541,338.2,2,3,,-0.5955578711016208
1544,338.5,3,1,,-0.5712479287209925
1560,340.1,1,2,,0.6278563411519165
1573,341.4,2,3,,1.5786965992453488
1581,342.2,3,0,,0.4570521789039339
1595,343.6,0,3,,-0.840750880492602
1604,344.5,3,1,,-0.8783097152575999
1610,345.1,1,2,,0.513202641758163
1650,349.1,2,1,,-0.3174276329367441
1672,351.3,1,3,,-0.265125825680694
1703,354.4,3,0,,-0.0710871129508868
1720,356.1,0,3,,0.3861857958495377
1729,357.0,3,0,,-0.3867719124718546
1737,357.8,0,1,,-1.0305888801006042
1741,358.2,1,0,,1.6115023003830835
1752,359.3,0,1,,0.1517498241968816
1768,360.9,1,0,,0.6621129977916405
1774,361.5,0,1,,1.3078184772289394
1792,363.3,1,2,,-0.3430032205307124
1797,363.8,2,1,,-0.5628810984614429
1804,364.5,1,0,,-0.8071199531547322
1823,366.4,0,3,,-0.1385312210435431
1833,367.4,3,0,,-0.9961259792121204
1858,369.9,0,3,,-0.4394538325062622
1876,371.7,3,0,,1.6017870044686997
1884,372.5,0,3,,-0.0183575840572389
1898,373.9,3,1,,-0.3095851043720332
1901,374.2,1,3,,-0.4478991274360105
1915,375.6,3,2,,-0.2195968466322768
1937,377.8,2,3,,-0.2703183766069925
1950,379.1,3,2,,-0.539685787501889
1960,380.1,2,3,,0.1233788422238389
1976,381.7,3,2,,1.6352016517813526
2007,384.8,2,1,,-0.831594963705782
2033,387.4,1,2,,-0.314637813851451
2075,391.6,2,1,,-0.1438011216118566
2099,394.0,1,0,,-0.2818606556077716
2113,395.4,0,3,,0.2817704197507369
2135,397.6,3,0,,0.1385055154372963
2156,399.7,0,3,,-0.9431551131304644
2166,400.7,3,2,,-0.4870075967194444
2191,403.2,2,3,,-0.1139620689704686
2196,403.7,3,2,,0.1977811604359921
2227,406.8,2,3,,0.5116313192824721
2241,408.2,3,0,,-0.0926533909029849
2285,412.6,0,3,,-0.4662767753036637
2313,415.4,3,2,,1.5831662065657304
2328,416.9,2,3,,-0.5024564353874456
2359,420.0,3,2,,1.5139875947976549
2399,424.0,2,3,,-0.4601135371512971
2409,425.0,3,0,,-0.9775285016763514
2437,427.8,0,1,,-0.968929514708147
2449,429.0,1,0,,-1.068887825221455
2454,429.5,0,1,,-1.2258041410635372
2463,430.4,1,3,,-0.0044989652888244
2494,433.5,3,0,,-0.1509742223668574
2521,436.2,0,3,,0.5174556671866344
2550,439.1,3,0,,-0.4376284485071898
2575,441.6,0,2,,-0.6478694466591461
2606,444.7,2,3,,-0.6681837409088481
2621,446.2,3,0,,0.6190240845824786
2629,447.0,0,3,,-0.7062921331516977
2639,448.0,3,0,,-0.4385544977306521
2646,448.7,0,3,,-0.5243860092526014
2692,453.3,3,0,,0.0190412378758409
2707,454.8,0,3,,-0.7405232484978235
2714,455.5,3,1,,-0.7809432014347388
2719,456.0,1,2,,-0.7898053040189925
2738,457.9,2,3,,1.074150415449492
2746,458.7,3,0,,-0.205098128713004
2763,460.4,0,1,,0.3136272162718203
2796,463.7,1,2,,2.23393342900011
2800,464.1,2,1,,1.2364032286662283
2817,465.8,1,0,,-0.3952769772252952
2864,470.5,0,1,,-1.0363831980667564
2948,478.9,1,0,,-0.2597857736630993
2976,481.7,0,1,,-0.0813660967581152
3019,486.0,1,0,,1.0620554570188514
3025,486.6,0,3,,0.5557478180431926
3034,487.5,3,2,,2.020404570355576
3061,490.2,2,3,,-0.2163439429486618
3065,490.6,3,2,,-0.7173388576077196
3076,491.7,2,3,,-0.2207966068603656
3124,496.5,3,2,,-0.0155850090245902
3134,497.5,2,3,,-0.0528300626475722
3146,498.7,3,0,,-0.3853494310654214
3201,504.2,0,3,,-0.2478688081707145
3234,507.5,3,1,,-0.5843428392271168
3239,508.0,1,2,,-0.0400473956113141
3260,510.1,2,1,,-0.7179499898821874
3302,514.3,1,2,,0.0985161899520646
3318,515.9,2,1,,-0.9043656319320952
3328,516.9,1,0,,-0.2940926387691481
3332,517.3,0,3,,-0.5867578756684547
3347,518.8,3,2,,-0.8906062163174792
3446,528.7,2,3,,-0.4812972535618951
3461,530.2,3,0,,-0.9173245145012868
3485,532.6,0,3,,-0.9689711785765704
3498,533.9,3,0,,-0.2678996473210682
3523,536.4,0,3,,-0.8921797431289784
3528,536.9,3,2,,-0.8520495117187891
3533,537.4,2,3,,-0.1424995405936444
3548,538.9,3,2,,-0.6648653980828378
3559,540.0,2,3,,-0.5452766593154739
3587,542.8,3,1,,-0.6267477945332259
3612,545.3,1,2,,-0.6825585732004601
3622,546.3,2,1,,-0.8473040181985292
3649,549.0,1,0,,0.4954224953595336
3659,550.0,0,1,,-0.5401168689995932
3668,550.9,1,0,,-0.4366677609198874
3675,551.6,0,1,,-0.1382390183207626
3685,552.6,1,0,,-0.1155355346016524
3693,553.4,0,1,,-0.345725998373674
3708,554.9,1,3,,-0.4301209652898346
3738,557.9,3,2,,-0.7394891270593752
3743,558.4,2,3,,-0.5787187231077784
3776,561.7,3,0,,-0.5688534997446792
3785,562.6,0,3,,-0.6848315154386544
3802,564.3,3,0,,0.895265643469316
3809,565.0,0,3,,-0.2805055818301561
3845,568.6,3,2,,-0.3678158160878107
3884,572.5,2,3,,-0.7388329998335246
3894,573.5,3,0,,-0.8868478363051092
3936,577.7,0,3,,-0.2841901915511653
3948,578.9,3,0,,-0.5573486095231395
3967,580.8,0,1,,-0.2101347652258842
3986,582.7,1,2,,0.0438797251344825
4003,584.4,2,3,,-0.8641333275992221
4022,586.3,3,0,,-0.6147436710126168
4031,587.2,0,1,,-0.4030166422085112
4133,597.4,1,0,,-0.6429898455774365
4142,598.3,0,1,,-0.2606280969008926
4229,607.0,1,0,,0.1024597753675855
4242,608.3,0,1,,-0.7628375594445449
4254,609.5,1,0,,1.1192111037112005
4264,610.5,0,3,,-0.4224578999720941
4281,612.2,3,0,,-0.7334567450075575
4293,613.4,0,3,,-0.6678117712076062
4318,615.9,3,0,,-0.2458902412003508
4331,617.2,0,3,,-0.1604245267423994
4345,618.6,3,0,,-0.5234613830586519
4351,619.2,0,3,,-0.6421729836266771
4392,623.3,3,2,,-0.277686973966447
4459,630.0,2,3,,0.6295589488972828
4514,635.5,3,0,,-0.3147357221080168
4528,636.9,0,3,,-0.4675271612357663
4576,641.7,3,2,,-0.6757620201229112
4620,646.1,2,1,,0.150587918215375
4651,649.2,1,0,,0.3798634085500862
4669,651.0,0,3,,-0.6768016979940551
4685,652.6,3,0,,-0.2034655084512363
4699,654.0,0,3,,-0.5871165098867517
4704,654.5,3,2,,0.0490233393002958
4714,655.5,2,3,,1.6934939820806525
4731,657.2,3,2,,0.1899096949300591
4739,658.0,2,3,,-0.1768713356372936
4784,662.5,3,2,,-0.206986812905857
4816,665.7,2,1,,-0.4088358545191108
4832,667.3,1,0,,0.356584824409554
4842,668.3,0,3,,0.2939064741860018
4873,671.4,3,0,,-0.4896690575529026
4887,672.8,0,3,,0.9916306495881028
4947,678.8,3,2,,-0.6808288807918264
4982,682.3,2,1,,-0.5126474588425265
4994,683.5,1,2,,-0.7511869061178081
5009,685.0,2,1,,-0.4738009349792065
5059,690.0,1,0,,0.5069197142103608
5087,692.8,0,1,,-0.0371072100038025
5107,694.8,1,2,,-0.1565258171033239
5142,698.3,2,1,,-0.131976734614718
5149,699.0,1,3,,0.5779142053617966
5152,699.3,3,0,,0.0452806339886522
5163,700.4,0,3,,0.4328409475551697
5186,702.7,3,0,,0.751131018376369
5197,703.8,0,3,,0.0634099859178057
5208,704.9,3,2,,0.0383983362596318
5220,706.1,2,3,,-0.0024118974258955
5228,706.9,3,0,,0.1959671512344062
5244,708.5,0,3,,-0.2816501072321306
5262,710.3,3,2,,-0.0177830673664176
5284,712.5,2,3,,0.5750849554522282
5303,714.4,3,2,,-0.6113810622953952
5311,715.2,2,3,,0.1105516741218678
5320,716.1,3,2,,0.0582105878399034
5330,717.1,2,3,,-0.0304909477581033
5363,720.4,3,0,,-0.2002122024850235
5381,722.2,0,3,,-0.5853596471205853
5415,725.6,3,2,,-0.3930929416630361
5421,726.2,2,3,,-0.1348145070647761
5444,728.5,3,1,,-0.3761328703982852
5448,728.9,1,0,,-0.0872089395872143
5457,729.8,0,3,,0.3388188894295021
5513,735.4,3,2,,-0.4644643472650693
5524,736.5,2,3,,-0.6294956526301998
5533,737.4,3,1,,-0.3966089009877616
5575,741.6,1,2,,-0.3817839278092307
5597,743.8,2,1,,-0.3963632014278548
5621,746.2,1,0,,0.0535447998479932
5642,748.3,0,1,,0.0692096077188495
5661,750.2,1,3,,0.8071049800289614
5664,750.5,3,0,,0.3621229529488363
5674,751.5,0,3,,-0.3402839967439517
5679,752.0,3,1,,-0.5449344383977986
5715,755.6,1,3,,-0.3536642697937924
5773,761.4,3,2,,-0.1107535364932452
5798,763.9,2,3,,-0.4410953270955272
5810,765.1,3,0,,-0.068332283784788
5819,766.0,0,3,,0.004613275006866
5857,769.8,3,0,,0.1627365713394461
5866,770.7,0,3,,-0.4068069283798132
5892,773.3,3,2,,-0.2891325569533184
5900,774.1,2,3,,-0.2749100335281542
5908,774.9,3,0,,-0.0205472199600512
5934,777.5,0,3,,-0.3722816068492864
5953,779.4,3,2,,0.4907171522671363
5987,782.8,2,3,,-0.3192962446593435
5991,783.2,3,2,,-0.5256831054090166
6005,784.6,2,3,,-0.311408885917642
6010,852.6,3,0,,0.3075598905054071
6078,859.4,0,1,,0.3286214282984768
6088,860.4,1,3,,-0.0628240845603339
6101,861.7,3,2,,-0.5981744428914068
6115,863.1,2,3,,-0.4290098246446953
6131,864.7,3,2,,-0.4484056317240213
6152,866.8,2,3,,-0.0265208459804423
6179,869.5,3,2,,-0.0438405418008383
6197,871.3,2,3,,0.2822817591433466
6228,874.4,3,2,,-0.7245653444778495
6239,875.5,2,3,,0.1498698600681639
6269,878.5,3,2,Investigation,0.3007350505050498
6305,882.1,2,3,,-0.3430322493559807
6314,883.0,3,0,,-0.1346740022785192
6317,883.3,0,3,,-0.4181393698475953
6324,884.0,3,2,,-0.1909889781219309
6364,888.0,2,3,,2.6160814595519195
6377,889.3,3,2,,0.5111304746284177
6380,889.6,2,3,,0.3499123156304901
6384,890.0,3,0,,0.2066656664454952
6392,890.8,0,3,,-0.0241442985445558
6402,891.8,3,0,,-0.0061153163763799
6418,893.4,0,3,,-0.4030323626729389
6430,894.6,3,0,Aggression,1.0094110217548595
6439,895.5,0,3,Aggression,0.7174989878253669
6443,895.9,3,1,,0.5634448246939519
6448,896.4,1,2,,0.0521672740778833
6455,897.1,2,1,,0.3258982871283155
6461,897.7,1,0,,1.0607300274962357
6469,898.5,0,3,,0.0452240619285411
6478,899.4,3,2,,-0.1286256766385129
6502,901.8,2,3,,-0.2311346545119261
6517,903.3,3,2,,-0.3647318248206656
6534,905.0,2,3,,-0.0851996606808547
6543,905.9,3,2,,-0.2329080034916699
6569,908.5,2,3,,1.7894467491586052
6590,910.6,3,2,,1.3688791596519665
6598,911.4,2,1,,-0.1486514950523079
6616,913.2,1,3,,0.0777006735319133
6621,913.7,3,0,,0.2338152070463861
6632,914.8,0,3,,-0.4996572444096575
6642,915.8,3,0,,0.1764516998586388
6653,916.9,0,3,,-0.1620015057625641
6661,917.7,3,0,,0.1448143733638442
6687,920.3,0,3,,-0.0468836954328857
6696,921.2,3,2,,-0.3150127900282912
6702,921.8,2,3,,-0.2419302541562781
6727,924.3,3,1,,-0.0448019046758249
6741,925.7,1,2,,-0.2723636950555984
6754,927.0,2,1,,-0.5099819890832771
6768,928.4,1,2,,-0.5772641740515077
6776,929.2,2,3,,2.269056334192981
6807,932.3,3,0,,-0.085997216155469
6827,934.3,0,3,,-0.2634485338373752
6835,935.1,3,2,,-0.6982612978608561
6844,936.0,2,3,,-0.5509460805580509
6856,937.2,3,0,,-0.2638360481044917
6859,937.5,0,3,,-0.2590216589271636
6878,939.4,3,2,,0.0883493645683011
6892,940.8,2,3,,0.7301170224180791
6898,941.4,3,2,,0.0338399595887498
6929,944.5,2,3,,-0.5944643187749376
6933,944.9,3,0,,0.1206326698361879
6951,946.7,0,3,,0.1820103839814361
6969,948.5,3,0,,-0.5351399253555862
6979,949.5,0,3,,-0.4511574151282235
6987,950.3,3,2,,0.4356511402951223
6992,950.8,2,3,,-0.4482189848416349
7004,952.0,3,2,,-0.3509752215742372
7010,952.6,2,1,,-0.4193944434849869
7014,953.0,1,3,,-0.2633086775284268
7035,955.1,3,2,,0.1357909537064347
7049,956.5,2,3,,-0.47892916985208
7057,957.3,3,2,,-0.4547936327936465
7079,959.5,2,3,,-0.2385443075977126
7122,963.8,3,0,,-0.1126032450159885
7131,964.7,0,3,,-0.1479119370032282
7139,965.5,3,2,,-0.2226877593991286
7153,966.9,2,1,,-0.4889776591356958
7161,967.7,1,2,,-0.3406595276699781
7181,969.7,2,3,,-0.7678440746851863
7250,976.6,3,0,,-0.2201693312607562
7267,978.3,0,1,,-0.1388259002646201
7278,979.4,1,2,,0.6276752168530497
7291,980.7,2,3,,-0.2786811965789634
7308,982.4,3,0,,-0.6321714101000528
7317,983.3,0,3,,-0.61707255664481
7326,984.2,3,2,,0.5595171297776569
7331,984.7,2,3,,0.5091084185673073
7335,985.1,3,1,,0.6398272028076029
7354,987.0,1,2,,-0.4706139400140842
7406,992.2,2,3,,-0.3636317893686535
7413,992.9,3,0,,-0.7064672805506085
7419,993.5,0,3,,-0.6989604224408329
7436,995.2,3,1,,-0.0554976158896085
7469,998.5,1,2,,-0.1295805110086814
7478,999.4,2,1,,-0.1695269482219153
7481,999.7,1,3,,-0.3371586520067645
7485,1000.1,3,0,,-0.3261099222586435
7491,1000.7,0,3,,0.2642984413559992
7499,1001.5,3,0,,-0.2284141439337874
7504,1002.0,0,3,,-0.2590131670592401
7519,1003.5,3,0,,-0.4939841707339776
7522,1003.8,0,3,,-0.6370231011729812
7527,1004.3,3,2,,-0.8289945920647713
7537,1005.3,2,3,,-0.4106101683206078
7541,1005.7,3,2,,-0.5470180070455316
7559,1007.5,2,1,,-0.6653482422915976
7576,1009.2,1,0,,-0.0300879647866927
7580,1009.6,0,3,,0.0784075292762597
7596,1011.2,3,0,,0.3434851694467319
7604,1012.0,0,3,,0.2521201001425756
7634,1015.0,3,2,,0.0523426574867809
